name,genus,species
Cpr_1274_CJEI,Corynebacterium,propinquum
Cpr_MSK124,Corynebacterium,propinquum
Cpr_MSK146,Corynebacterium,propinquum
Cpr_MSK290,Corynebacterium,propinquum
Cpr_DE0530,Corynebacterium,propinquum
Cpr_DSM_44285,Corynebacterium,propinquum
Cpr_HSID18035,Corynebacterium,propinquum
Cpr_KPL2654,Corynebacterium,propinquum
Cpr_KPL2657,Corynebacterium,propinquum
Cpr_KPL2755,Corynebacterium,propinquum
Cpr_KPL2785,Corynebacterium,propinquum
Cpr_KPL2804,Corynebacterium,propinquum
Cpr_KPL2811,Corynebacterium,propinquum
Cpr_KPL3672,Corynebacterium,propinquum
Cpr_KPL3675,Corynebacterium,propinquum
Cpr_KPL3889,Corynebacterium,propinquum
Cpr_KPL3953,Corynebacterium,propinquum
Cpr_KPL3967,Corynebacterium,propinquum
Cpr_KPL4040,Corynebacterium,propinquum
