name	group
Cac_ATCC_49725	C.accolens
Cac_MSK075	C.accolens
Cac_MSK076	C.accolens
Cac_MSK079	C.accolens
Cac_KPL1818	C.accolens
Cac_KPL1824	C.accolens
Cac_KPL1996	C.accolens
Cac_KPL2617	C.accolens
Cac_KPL2618	C.accolens
Cac_KPL2641	C.accolens
Cac_KPL2652	C.accolens
Cac_KPL2660	C.accolens
Cac_KPL2783	C.accolens
Cac_KPL2859	C.accolens
Cac_KPL3647	C.accolens
Cac_KPL3674	C.accolens
Cac_KPL3703	C.accolens
Cac_KPL3774	C.accolens
Cac_KPL3802	C.accolens
Cac_KPL3832	C.accolens
Cac_KPL3921	C.accolens
Cac_KPL3926	C.accolens
Cac_KPL3970	C.accolens
Cac_KPL4034	C.accolens
Cac_KPL4065	C.accolens
Cac_KPL4075	C.accolens
Cac_MSK070	C.accolens
Cac_MSK096	C.accolens
Cac_MSK109	C.accolens
Cac_MSK121	C.accolens
Cac_MSK161	C.accolens
Cac_MSK270	C.accolens
Cac_MSK273	C.accolens
Cpr_1274_CJEI	C.propinquum
Cpr_DE0530	C.propinquum
Cpr_DSM_44285	C.propinquum
Cpr_HSID18035	C.propinquum
Cpr_KPL2654	C.propinquum
Cpr_KPL2657	C.propinquum
Cpr_KPL2755	C.propinquum
Cpr_KPL2785	C.propinquum
Cpr_KPL2804	C.propinquum
Cpr_KPL2811	C.propinquum
Cpr_KPL3672	C.propinquum
Cpr_KPL3675	C.propinquum
Cpr_KPL3889	C.propinquum
Cpr_KPL3953	C.propinquum
Cpr_KPL3967	C.propinquum
Cpr_KPL4040	C.propinquum
Cpr_MSK124	C.propinquum
Cpr_MSK146	C.propinquum
Cpr_MSK290	C.propinquum
Cps_DSM_44287	C.pseudodiphtheriticum
Cps_MSK080	C.pseudodiphtheriticum
Cps_HSID17575	C.pseudodiphtheriticum
Cps_HSID17576	C.pseudodiphtheriticum
Cps_KPL1989	C.pseudodiphtheriticum
Cps_KPL2621	C.pseudodiphtheriticum
Cps_KPL2640	C.pseudodiphtheriticum
Cps_KPL2667	C.pseudodiphtheriticum
Cps_KPL2733	C.pseudodiphtheriticum
Cps_KPL2773	C.pseudodiphtheriticum
Cps_KPL2795	C.pseudodiphtheriticum
Cps_KPL2826	C.pseudodiphtheriticum
Cps_KPL2834	C.pseudodiphtheriticum
Cps_KPL2865	C.pseudodiphtheriticum
Cps_KPL2915	C.pseudodiphtheriticum
Cps_KPL3671	C.pseudodiphtheriticum
Cps_KPL3702	C.pseudodiphtheriticum
Cps_KPL3770	C.pseudodiphtheriticum
Cps_KPL3772	C.pseudodiphtheriticum
Cps_KPL3833	C.pseudodiphtheriticum
Cps_KPL3966	C.pseudodiphtheriticum
Cps_KPL4010	C.pseudodiphtheriticum
Cps_KPL4025	C.pseudodiphtheriticum
Cps_KPL4041	C.pseudodiphtheriticum
Cps_KPL4066	C.pseudodiphtheriticum
Cps_MSK092	C.pseudodiphtheriticum
Cps_MSK110	C.pseudodiphtheriticum
Cps_MSK118	C.pseudodiphtheriticum
Cps_MSK127	C.pseudodiphtheriticum
Cps_MSK141	C.pseudodiphtheriticum
Cps_MSK164	C.pseudodiphtheriticum
Cps_MSK166	C.pseudodiphtheriticum
Cps_MSK172	C.pseudodiphtheriticum
Cps_MSK184	C.pseudodiphtheriticum
Cps_MSK188	C.pseudodiphtheriticum
Cps_MSK198	C.pseudodiphtheriticum
Cps_MSK223	C.pseudodiphtheriticum
Cps_MSK238	C.pseudodiphtheriticum
Cps_MSK283	C.pseudodiphtheriticum
Cps_MSK300	C.pseudodiphtheriticum
Cps_MSK305	C.pseudodiphtheriticum
Cps_MSK311	C.pseudodiphtheriticum
Ctu_DSM_44922	C.tuberculostearicum
Ctu_MSK074	C.tuberculostearicum
Ctu_KPL3807	C.tuberculostearicum
Ctu_MSK150	C.tuberculostearicum
Ctu_MSK158	C.tuberculostearicum
Ctu_MSK195	C.tuberculostearicum
Ctu_MSK207	C.tuberculostearicum
Ctu_SK141	C.tuberculostearicum
