name	group
Cps_MSK080	USA
Cps_HSID17575	USA
Cps_HSID17576	USA
Cps_KPL1989	USA
Cps_KPL2621	USA
Cps_KPL2640	USA
Cps_KPL2667	USA
Cps_KPL2733	USA
Cps_KPL2773	USA
Cps_KPL2795	USA
Cps_KPL2826	USA
Cps_KPL2834	USA
Cps_KPL2865	USA
Cps_KPL2915	USA
Cps_KPL3671	USA
Cps_KPL3702	USA
Cps_KPL3770	USA
Cps_KPL3772	USA
Cps_KPL3833	USA
Cps_KPL3966	USA
Cps_KPL4010	USA
Cps_KPL4025	USA
Cps_KPL4041	USA
Cps_KPL4066	USA
Cps_MSK092	BWA
Cps_MSK110	BWA
Cps_MSK118	BWA
Cps_MSK127	BWA
Cps_MSK141	BWA
Cps_MSK164	BWA
Cps_MSK166	BWA
Cps_MSK172	BWA
Cps_MSK184	BWA
Cps_MSK188	BWA
Cps_MSK198	BWA
Cps_MSK223	BWA
Cps_MSK238	BWA
Cps_MSK283	BWA
Cps_MSK300	BWA
Cps_MSK305	BWA
Cps_MSK311	BWA
