genome_name,styled_genome_name
Cpr_DE0530,Cpr_DE0530 
Cpr_HSID18035,Cpr_HSID18035 
Cpr_KPL3953,Cpr_KPL3953 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cpr_KPL2811,Cpr_KPL2811 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cpr_KPL2755,Cpr_KPL2755 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cpr_KPL3889,Cpr_KPL3889 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cpr_KPL3672,Cpr_KPL3672 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cpr_DSM_44285,<b>Cpr_DSM_44285</b> 
Cpr_1274_CJEI,Cpr_1274_CJEI 
Cpr_KPL2657,Cpr_KPL2657 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cpr_KPL3675,Cpr_KPL3675 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cpr_KPL3967,Cpr_KPL3967 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cpr_KPL2785,Cpr_KPL2785 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cpr_KPL4040,Cpr_KPL4040 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cpr_KPL2804,Cpr_KPL2804 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cpr_MSK290,Cpr_MSK290 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cpr_MSK124,Cpr_MSK124 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cpr_KPL2654,Cpr_KPL2654 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cpr_MSK146,Cpr_MSK146 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_KPL4066,Cps_KPL4066 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL2667,Cps_KPL2667 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_MSK164,Cps_MSK164 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK223,Cps_MSK223 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK283,Cps_MSK283 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK198,Cps_MSK198 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK300,Cps_MSK300 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK184,Cps_MSK184 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK238,Cps_MSK238 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK127,Cps_MSK127 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK311,Cps_MSK311 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK118,Cps_MSK118 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK172,Cps_MSK172 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK141,Cps_MSK141 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK188,Cps_MSK188 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK166,Cps_MSK166 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK110,Cps_MSK110 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_MSK092,Cps_MSK092 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_KPL3772,Cps_KPL3772 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL2795,Cps_KPL2795 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_HSID17576,Cps_HSID17576
Cps_KPL1989,Cps_KPL1989 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_MSK305,Cps_MSK305 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cps_KPL3833,Cps_KPL3833 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL2915,Cps_KPL2915 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL4025,Cps_KPL4025 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL4041,Cps_KPL4041 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL3770,Cps_KPL3770 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_MSK080,Cps_MSK080 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_DSM_44287,<b>Cps_DSM_44287</b>
Cps_KPL4010,Cps_KPL4010 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL2773,Cps_KPL2773 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL3702,Cps_KPL3702 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL2640,Cps_KPL2640 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL3966,Cps_KPL3966 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL3671,Cps_KPL3671 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL2865,Cps_KPL2865 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL2826,Cps_KPL2826 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_HSID17575,Cps_HSID17575
Cps_KPL2621,Cps_KPL2621 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL2834,Cps_KPL2834 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cps_KPL2733,Cps_KPL2733 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_MSK270,Cac_MSK270 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cac_MSK121,Cac_MSK121 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cac_MSK075,Cac_MSK075 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_MSK161,Cac_MSK161 <span style='color:#6ca9d4; font-size:9px;'>●</span>
Cac_KPL3703,Cac_KPL3703 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_MSK076,Cac_MSK076 <span style='color:#ed1c24; font-size:6px;'>▲</span>
Cac_KPL3674,Cac_KPL3674 <span style='color:#ed1c24; font-size:6px;'>▲</span>
