"Species","Difference","Glycogen","TimePoint","Date","ODNorm","GlycogenNorm"
"Cac",32977.6666666667,0.252314904886648,"24",240331,0.344,0.733473560717001
"Cgl",141676.666666667,4.1497955355646,"24",240331,0.455,9.12042974849363
"Cpr",34225.6666666667,0.297062840259431,"24",240331,0.565,0.525774938512268
"Cps",33779,0.281047286466822,"24",240331,0.434,0.647574392780695
"Ctu",48091,0.794214314555975,"24",240331,0.508,1.56341400503145
"Cac",8658.33333333333,0.320405288868205,"28",240331,0.508,0.630719072575208
"Cgl",81491,2.93163669457048,"28",240331,0.64,4.58068233526638
"Cpr",8301.33333333333,0.307605955073355,"28",240331,0.474,0.648957711125222
"Cps",7641.66666666667,0.283955271992115,"28",240331,0.48,0.591573483316907
"Ctu",32320.6666666667,1.16875851771509,"28",240331,0.476,2.45537503721658
"Cac",12490,0.315038711296928,"32",240331,0.694,0.4539462698803
"Cgl",144721.333333333,5.15946808334529,"32",240331,0.528,9.77171985482062
"Cpr",12951.3333333333,0.331940127126043,"32",240331,0.427,0.777377346899399
"Cps",12910.3333333333,0.330438050430248,"32",240331,0.595,0.555358067949996
"Ctu",35423.6666666667,1.15523691249558,"32",240331,0.401,2.88089005609871
"Cac",9072,-0.232021787167631,"48",240331,0.501,-0.463117339655951
"Cgl",70277.6666666667,2.00155534718225,"48",240331,0.5,4.00311069436449
"Cpr",20989,0.202865048638108,"48",240331,0.565,0.35905318343028
"Cps",7804,-0.27829488507832,"48",240331,0.484,-0.57498943198
"Ctu",21703.6666666667,0.228945364600389,"48",240331,0.425,0.538694975530327
