"Species","Difference","Glycogen","TimePoint","Date","ODNorm","GlycogenNorm"
"Cac",1055,0.723445577341371,"24",240322,0.5,1.44689115468274
"Cgl",19729,2.23294218232884,"24",240322,0.5,4.46588436465767
"Cpr",-2111.33333333333,0.467497766646002,"24",240322,0.5,0.934995533292004
"Cps",-118.333333333333,0.628600194285502,"24",240322,0.5,1.257200388571
"Ctu",7848.33333333333,1.27257878946597,"24",240322,0.5,2.54515757893195
"Cac",855.666666666667,0.282050571444333,"28",240322,0.629,0.448411083377319
"Cgl",46418.3333333333,3.34373416370614,"28",240322,0.514,6.50531938464229
"Cpr",2434.33333333333,0.388132550059515,"28",240322,0.48,0.808609479290656
"Cps",-14070,-0.720912426117316,"28",240322,0.493,-1.46229701037995
"Ctu",-35933,-2.190044794232,"28",240322,0.851,-2.573495645396
"Cac",6608.66666666667,0.347412098066844,"32",240322,0.747,0.465076436501799
"Cgl",81009.6666666667,5.82978475985154,"32",240322,0.671,8.68820381497994
"Cpr",1983,0.00656145794289246,"32",240322,0.478,0.0137268994621181
"Cps",2199.33333333333,0.0225023720771032,"32",240322,0.487,0.0462061028277274
"Ctu",22559.3333333333,1.52276590877602,"32",240322,0.527,2.88949887813287
"Cac",1578,0.0451868061332617,"48",240322,0.527,0.0857434651485042
"Cgl",54791.6666666667,3.68203330651911,"48",240322,0.794,4.6373215447344
"Cpr",3155,0.152965639849697,"48",240322,0.258,0.59289007693681
"Cps",2194,0.087286845175319,"48",240322,0.303,0.288075396618214
"Ctu",35471,2.36157742829632,"48",240322,0.427,5.53062629577593
"Cac",10326.6666666667,0.297854196340677,"24",240325,0.617,0.482745861168034
"Cgl",222831.333333333,7.53258258777953,"24",240325,0.742,10.1517285549589
"Cpr",4308.33333333333,0.0929598393423548,"24",240325,0.78,0.119179281208147
"Cps",5685,0.139828501452744,"24",240325,0.423,0.330563833221616
"Ctu",36366,1.18436415923156,"24",240325,0.721,1.64266873679828
"Cac",2600.66666666667,0.129702788012577,"28",240325,0.529,0.24518485446612
"Cgl",77789.6666666667,2.76732716535194,"28",240325,0.662,4.18025251563738
"Cpr",6369.66666666667,0.261919020150152,"28",240325,0.516,0.507595000290991
"Cps",4430,0.193875661628126,"28",240325,0.44,0.440626503700286
"Ctu",35915,1.29836705691906,"28",240325,0.543,2.39109955233712
"Cac",19079.6666666667,0.286225853730257,"32",240325,0.416,0.688042917620809
"Cgl",131782.666666667,5.29588181243011,"32",240325,0.397,13.3397526761464
"Cpr",26060.6666666667,0.59653177502502,"32",240325,0.325,1.83548238469237
"Cps",24282.3333333333,0.517484738301171,"32",240325,0.4,1.29371184575293
"Ctu",51020.3333333333,1.7059906434121,"32",240325,0.507,3.36487306392919
"Cac",8963.33333333333,0.510048259311277,"48",240325,0.416,1.22607754642134
"Cgl",41668.3333333333,1.99075191215783,"48",240325,0.397,5.01448844372249
"Cpr",10197.6666666667,0.565932126472167,"48",240325,0.325,1.74132961991436
"Cps",9626.33333333333,0.540065275725808,"48",240325,0.4,1.35016318931452
"Ctu",27093,1.33086047940679,"48",240325,0.507,2.6249713597767
"Cac",32977.6666666667,0.252314904886648,"24",240331,0.344,0.733473560717001
"Cgl",141676.666666667,4.1497955355646,"24",240331,0.455,9.12042974849363
"Cpr",34225.6666666667,0.297062840259431,"24",240331,0.565,0.525774938512268
"Cps",33779,0.281047286466822,"24",240331,0.434,0.647574392780695
"Ctu",48091,0.794214314555975,"24",240331,0.508,1.56341400503145
"Cac",8658.33333333333,0.320405288868205,"28",240331,0.508,0.630719072575208
"Cgl",81491,2.93163669457048,"28",240331,0.64,4.58068233526638
"Cpr",8301.33333333333,0.307605955073355,"28",240331,0.474,0.648957711125222
"Cps",7641.66666666667,0.283955271992115,"28",240331,0.48,0.591573483316907
"Ctu",32320.6666666667,1.16875851771509,"28",240331,0.476,2.45537503721658
"Cac",12490,0.315038711296928,"32",240331,0.694,0.4539462698803
"Cgl",144721.333333333,5.15946808334529,"32",240331,0.528,9.77171985482062
"Cpr",12951.3333333333,0.331940127126043,"32",240331,0.427,0.777377346899399
"Cps",12910.3333333333,0.330438050430248,"32",240331,0.595,0.555358067949996
"Ctu",35423.6666666667,1.15523691249558,"32",240331,0.401,2.88089005609871
"Cac",9072,-0.232021787167631,"48",240331,0.501,-0.463117339655951
"Cgl",70277.6666666667,2.00155534718225,"48",240331,0.5,4.00311069436449
"Cpr",20989,0.202865048638108,"48",240331,0.565,0.35905318343028
"Cps",7804,-0.27829488507832,"48",240331,0.484,-0.57498943198
"Ctu",21703.6666666667,0.228945364600389,"48",240331,0.425,0.538694975530327
