"Date","Species","Strain","TimePoint","Media","GrowthOD"
240322,"Cpr","KPL3953",0,"5p",0.04
240322,"Cps","KPL4412",0,"5p",0.035
240322,"Cac","KPL4419",0,"5p",0.054
240322,"Ctu","KPL4448",0,"5p",0.051
240322,"Cgl","ATCC_13032",0,"5p",0.63
240322,"Cpr","KPL3953",24,"5p",6.42
240322,"Cps","KPL4412",24,"5p",4.82
240322,"Cac","KPL4419",24,"5p",11.9
240322,"Ctu","KPL4448",24,"5p",11.42
240322,"Cgl","ATCC_13032",24,"5p",17.66
240322,"Cpr","KPL3953",28,"5p",6.6
240322,"Cps","KPL4412",28,"5p",5
240322,"Cac","KPL4419",28,"5p",12.92
240322,"Ctu","KPL4448",28,"5p",13.7
240322,"Cgl","ATCC_13032",28,"5p",18.2
240322,"Cpr","KPL3953",32,"5p",6.46
240322,"Cps","KPL4412",32,"5p",5.02
240322,"Cac","KPL4419",32,"5p",12.26
240322,"Ctu","KPL4448",32,"5p",14.9
240322,"Cgl","ATCC_13032",32,"5p",18.24
240322,"Cpr","KPL3953",48,"5p",6.6
240322,"Cps","KPL4412",48,"5p",4
240322,"Cac","KPL4419",48,"5p",11.7
240322,"Ctu","KPL4448",48,"5p",12.54
240322,"Cgl","ATCC_13032",48,"5p",16.54
240325,"Cpr","KPL3953",0,"5p",0.056
240325,"Cps","KPL4412",0,"5p",0.04
240325,"Cac","KPL4419",0,"5p",0.037
240325,"Ctu","KPL4448",0,"5p",0.063
240325,"Cgl","ATCC_13032",0,"5p",0.048
240325,"Cpr","KPL3953",24,"5p",6
240325,"Cps","KPL4412",24,"5p",4.5
240325,"Cac","KPL4419",24,"5p",11.1
240325,"Ctu","KPL4448",24,"5p",12.05
240325,"Cgl","ATCC_13032",24,"5p",18.84
240325,"Cpr","KPL3953",28,"5p",7.14
240325,"Cps","KPL4412",28,"5p",4.66
240325,"Cac","KPL4419",28,"5p",14
240325,"Ctu","KPL4448",28,"5p",16.1
240325,"Cgl","ATCC_13032",28,"5p",20.36
240325,"Cpr","KPL3953",32,"5p",7.1
240325,"Cps","KPL4412",32,"5p",5.46
240325,"Cac","KPL4419",32,"5p",16.36
240325,"Ctu","KPL4448",32,"5p",18.72
240325,"Cgl","ATCC_13032",32,"5p",22.68
240325,"Cpr","KPL3953",48,"5p",6.96
240325,"Cps","KPL4412",48,"5p",6.64
240325,"Cac","KPL4419",48,"5p",16.2
240325,"Ctu","KPL4448",48,"5p",18.28
240325,"Cgl","ATCC_13032",48,"5p",21.48
240331,"Cpr","KPL3953",0,"5p",0.036
240331,"Cps","KPL4412",0,"5p",0.036
240331,"Cac","KPL4419",0,"5p",0.034
240331,"Ctu","KPL4448",0,"5p",0.0294
240331,"Cgl","ATCC_13032",0,"5p",0.03
240331,"Cpr","KPL3953",24,"5p",7.94
240331,"Cps","KPL4412",24,"5p",4
240331,"Cac","KPL4419",24,"5p",13.24
240331,"Ctu","KPL4448",24,"5p",13.58
240331,"Cgl","ATCC_13032",24,"5p",19.52
240331,"Cpr","KPL3953",28,"5p",8
240331,"Cps","KPL4412",28,"5p",3.98
240331,"Cac","KPL4419",28,"5p",13.4
240331,"Ctu","KPL4448",28,"5p",13.7
240331,"Cgl","ATCC_13032",28,"5p",19.86
240331,"Cpr","KPL3953",32,"5p",7.98
240331,"Cps","KPL4412",32,"5p",3.84
240331,"Cac","KPL4419",32,"5p",13.46
240331,"Ctu","KPL4448",32,"5p",13.64
240331,"Cgl","ATCC_13032",32,"5p",20.02
240331,"Cpr","KPL3953",48,"5p",7.94
240331,"Cps","KPL4412",48,"5p",5.68
240331,"Cac","KPL4419",48,"5p",13.56
240331,"Ctu","KPL4448",48,"5p",13.6
240331,"Cgl","ATCC_13032",48,"5p",19.96
