name,genus ,species
Cac_ATCC_49725,Corynebacterium,accolens
Cac_ATCC_49726,Corynebacterium,accolens
Cac_MSK070,Corynebacterium,accolens
Cac_MSK096,Corynebacterium,accolens
Cac_MSK109,Corynebacterium,accolens
Cac_MSK121,Corynebacterium,accolens
Cac_MSK161,Corynebacterium,accolens
Cac_MSK270,Corynebacterium,accolens
Cac_MSK273,Corynebacterium,accolens
Cac_MSK075,Corynebacterium,accolens
Cac_MSK076,Corynebacterium,accolens
Cac_MSK079,Corynebacterium,accolens
Cac_KPL1818,Corynebacterium,accolens
Cac_KPL1824,Corynebacterium,accolens
Cac_KPL1996,Corynebacterium,accolens
Cac_KPL2617,Corynebacterium,accolens
Cac_KPL2618,Corynebacterium,accolens
Cac_KPL2641,Corynebacterium,accolens
Cac_KPL2652,Corynebacterium,accolens
Cac_KPL2660,Corynebacterium,accolens
Cac_KPL2783,Corynebacterium,accolens
Cac_KPL2859,Corynebacterium,accolens
Cac_KPL3647,Corynebacterium,accolens
Cac_KPL3674,Corynebacterium,accolens
Cac_KPL3703,Corynebacterium,accolens
Cac_KPL3774,Corynebacterium,accolens
Cac_KPL3802,Corynebacterium,accolens
Cac_KPL3832,Corynebacterium,accolens
Cac_KPL3921,Corynebacterium,accolens
Cac_KPL3926,Corynebacterium,accolens
Cac_KPL3970,Corynebacterium,accolens
Cac_KPL4034,Corynebacterium,accolens
Cac_KPL4065,Corynebacterium,accolens
Cac_KPL4075,Corynebacterium,accolens
Cpr_1274_CJEI,Corynebacterium,propinquum
Cpr_MSK124,Corynebacterium,propinquum
Cpr_MSK146,Corynebacterium,propinquum
Cpr_MSK290,Corynebacterium,propinquum
Cpr_DE0530,Corynebacterium,propinquum
Cpr_DSM_44285,Corynebacterium,propinquum
Cpr_HSID18035,Corynebacterium,propinquum
Cpr_KPL2654,Corynebacterium,propinquum
Cpr_KPL2657,Corynebacterium,propinquum
Cpr_KPL2755,Corynebacterium,propinquum
Cpr_KPL2785,Corynebacterium,propinquum
Cpr_KPL2804,Corynebacterium,propinquum
Cpr_KPL2811,Corynebacterium,propinquum
Cpr_KPL3672,Corynebacterium,propinquum
Cpr_KPL3675,Corynebacterium,propinquum
Cpr_KPL3889,Corynebacterium,propinquum
Cpr_KPL3953,Corynebacterium,propinquum
Cpr_KPL3967,Corynebacterium,propinquum
Cpr_KPL4040,Corynebacterium,propinquum
Cps_090104,Corynebacterium,pseudodiphtheriticum
Cps_MSK092,Corynebacterium,pseudodiphtheriticum
Cps_MSK110,Corynebacterium,pseudodiphtheriticum
Cps_MSK118,Corynebacterium,pseudodiphtheriticum
Cps_MSK127,Corynebacterium,pseudodiphtheriticum
Cps_MSK141,Corynebacterium,pseudodiphtheriticum
Cps_MSK164,Corynebacterium,pseudodiphtheriticum
Cps_MSK166,Corynebacterium,pseudodiphtheriticum
Cps_MSK172,Corynebacterium,pseudodiphtheriticum
Cps_MSK184,Corynebacterium,pseudodiphtheriticum
Cps_MSK188,Corynebacterium,pseudodiphtheriticum
Cps_MSK198,Corynebacterium,pseudodiphtheriticum
Cps_MSK223,Corynebacterium,pseudodiphtheriticum
Cps_MSK238,Corynebacterium,pseudodiphtheriticum
Cps_MSK283,Corynebacterium,pseudodiphtheriticum
Cps_MSK300,Corynebacterium,pseudodiphtheriticum
Cps_MSK305,Corynebacterium,pseudodiphtheriticum
Cps_MSK311,Corynebacterium,pseudodiphtheriticum
Cps_DSM_44287,Corynebacterium,pseudodiphtheriticum
Cps_MSK080,Corynebacterium,pseudodiphtheriticum
Cps_HSID17575,Corynebacterium,pseudodiphtheriticum
Cps_HSID17576,Corynebacterium,pseudodiphtheriticum
Cps_KPL1989,Corynebacterium,pseudodiphtheriticum
Cps_KPL2621,Corynebacterium,pseudodiphtheriticum
Cps_KPL2640,Corynebacterium,pseudodiphtheriticum
Cps_KPL2667,Corynebacterium,pseudodiphtheriticum
Cps_KPL2733,Corynebacterium,pseudodiphtheriticum
Cps_KPL2773,Corynebacterium,pseudodiphtheriticum
Cps_KPL2795,Corynebacterium,pseudodiphtheriticum
Cps_KPL2826,Corynebacterium,pseudodiphtheriticum
Cps_KPL2834,Corynebacterium,pseudodiphtheriticum
Cps_KPL2865,Corynebacterium,pseudodiphtheriticum
Cps_KPL2915,Corynebacterium,pseudodiphtheriticum
Cps_KPL3671,Corynebacterium,pseudodiphtheriticum
Cps_KPL3702,Corynebacterium,pseudodiphtheriticum
Cps_KPL3770,Corynebacterium,pseudodiphtheriticum
Cps_KPL3772,Corynebacterium,pseudodiphtheriticum
Cps_KPL3833,Corynebacterium,pseudodiphtheriticum
Cps_KPL3966,Corynebacterium,pseudodiphtheriticum
Cps_KPL4010,Corynebacterium,pseudodiphtheriticum
Cps_KPL4025,Corynebacterium,pseudodiphtheriticum
Cps_KPL4041,Corynebacterium,pseudodiphtheriticum
Cps_KPL4066,Corynebacterium,pseudodiphtheriticum
Ctu_MSK150,Corynebacterium,tuberculostearicum
Ctu_MSK158,Corynebacterium,tuberculostearicum
Ctu_MSK195,Corynebacterium,tuberculostearicum
Ctu_MSK207,Corynebacterium,tuberculostearicum
Ctu_DSM_44922,Corynebacterium,tuberculostearicum
Ctu_MSK074,Corynebacterium,tuberculostearicum
Ctu_KPL3807,Corynebacterium,tuberculostearicum
Ctu_SK141,,tuberculostearicum
