layers	total_length	gc_content	percent_completion	percent_redundancy	num_genes	avg_gene_length	num_genes_per_kb	singleton_gene_clusters	num_gene_clusters
Cpr_1274_CJEI	2466773	0.565232848934903	100	1.40845070422535	2231	989.158225011206	0.904420471603994	25	2190
Cpr_BWA124	2442739	0.565102342371703	100	1.40845070422535	2195	997.403644646925	0.898581469407907	20	2154
Cpr_BWA146	2429658	0.565069866195102	100	1.40845070422535	2189	997.58565555048	0.900949845616132	11	2145
Cpr_BWA290	2444083	0.564611758274985	100	1.40845070422535	2183	1007.11635364178	0.893177523021927	15	2142
Cpr_DE0530	2582419	0.564704757014192	100	1.40845070422535	2370	972.558227848101	0.91774417706809	21	2306
Cpr_DSM_44285	2458635	0.564415029461757	100	1.40845070422535	2211	998.424694708277	0.899279478247076	5	2156
Cpr_HSID18035	2548974	0.564754289372901	100	2.8169014084507	2308	980.902512998267	0.905462354657207	37	2236
Cpr_KPL_2654	2546454	0.564989982147724	100	1.40845070422535	2337	975.13350449294	0.917746796132975	75	2267
Cpr_KPL_2657	2460095	0.564892006203012	100	1.40845070422535	2210	996.266063348416	0.898339291775318	5	2160
Cpr_KPL_2755	2555579	0.56413517249907	100	1.40845070422535	2321	976.363636363636	0.908209059473411	17	2251
Cpr_KPL_2785	2472637	0.564765066607027	100	1.40845070422535	2212	993.985985533454	0.894591482696409	1	2166
Cpr_KPL_2804	2500586	0.565253104672265	100	1.40845070422535	2238	996.463806970509	0.89499021429377	10	2185
Cpr_KPL_2811	2588397	0.564082325856505	100	2.8169014084507	2336	972.87970890411	0.902489069489727	16	2247
Cpr_KPL_3672	2447353	0.564811859997311	100	1.40845070422535	2196	996.607923497268	0.897295976510132	6	2141
Cpr_KPL_3675	2517224	0.564622774929843	100	1.40845070422535	2291	983.165866433872	0.910129571305533	12	2242
Cpr_KPL_3889	2552637	0.564580471097144	100	1.40845070422535	2317	979.711696158826	0.907688793980499	17	2236
Cpr_KPL_3953	2536009	0.56483592921003	100	2.8169014084507	2286	984.09186351706	0.901416359326801	21	2211
Cpr_KPL_3967	2517978	0.564417957583426	100	1.40845070422535	2272	988.041813380282	0.902311298986727	10	2226
Cpr_KPL_4040	2561467	0.563923329873077	100	2.8169014084507	2337	972.526315789474	0.912367795485946	44	2270
