items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	PPanGGOLiN
GC_00000001	43	219	12	0	0.504983888694469	0.761673415214127	0.607319441403991	persistent
GC_00000002	43	165	10	0	0.562602667953275	0.679149501046231	0.61540673053239	persistent
GC_00000003	43	129	3	0	0.828302333267103	0.772947475388917	0.79966810162485	persistent
GC_00000004	36	128	7	0	0.800601963442804	0.591413530551575	0.680289602822688	shell
GC_00000005	32	123	8	0	0.637519900906297	0.669576944799567	0.653155317297459	shell
GC_00000006	37	88	5	0	0.810905958092136	0.728550975708318	0.767525630635527	shell
GC_00000007	37	88	5	0	0.767179263611153	0.74598426148048	0.756433322503524	shell
GC_00000008	43	87	3	0	0.833612326236229	0.887462785247902	0.859695096305979	persistent
GC_00000009	43	86	2	0	0.79727932701754	0.959497656954917	0.870898985120033	persistent
GC_00000010	43	86	2	0	0.861896467243816	0.846167136744473	0.853959377338125	persistent
GC_00000011	43	85	2	0	0.687000370230184	0.719166486481364	0.702715527836093	persistent
GC_00000012	43	85	3	0	0.883607226818005	0.832094933528879	0.857077776851562	persistent
GC_00000013	43	75	3	0	0.765311294517299	0.684750363154663	0.722792971008461	persistent
GC_00000014	43	71	3	0	0.95224954264984	0.615260212003678	0.747531240238628	persistent
GC_00000015	32	68	4	0	0.906214410186748	0.776724648205279	0.83648788759277	shell
GC_00000016	43	68	2	0	0.894935429017878	0.97052694352875	0.931199641828854	persistent
GC_00000017	43	66	3	0	0.850268682679091	0.795502058850804	0.821974131122067	persistent
GC_00000018	43	65	3	0	0.832964360763808	0.823374193548387	0.828141513717585	persistent
GC_00000019	43	65	5	0	0.787795729513798	0.717990795640996	0.75127526138281	persistent
GC_00000020	36	63	3	0	0.808810023269943	0.678058746104055	0.737685425252029	shell
GC_00000021	43	60	3	0	0.908692264651909	0.678218182484995	0.776718834112287	persistent
GC_00000022	35	59	4	0	0.792946758107156	0.733967291718607	0.762317937399778	shell
GC_00000023	38	59	3	0	0.926614375876317	0.71275942871278	0.80573830243944	shell
GC_00000024	43	57	2	0	0.964443994914511	0.709131267879893	0.817312980320855	persistent
GC_00000025	30	53	2	0	1.0	1.0	1.0	shell
GC_00000026	43	52	2	0	0.963424700358353	0.759317639278453	0.849280071972785	persistent
GC_00000027	43	51	2	0	0.928425153826052	0.950318494003772	0.939244260384706	persistent
GC_00000028	43	51	2	0	0.965677618526166	0.745733000719304	0.841572045998505	persistent
GC_00000029	31	51	4	0	0.790966605421173	0.76175800223169	0.776087579481858	shell
GC_00000030	40	51	2	0	0.863113101903695	0.602322212350136	0.709512303941891	persistent
GC_00000031	40	51	2	0	0.915850240125453	0.653304054934216	0.762612927830251	persistent
GC_00000032	43	51	2	0	0.95494602446741	0.903139209557272	0.928320382633103	persistent
GC_00000033	43	50	2	0	0.946142539392983	0.983872884691065	0.964638912150959	persistent
GC_00000034	36	50	2	0	0.933645253603469	0.877936375551055	0.904934248402183	shell
GC_00000035	43	50	2	0	0.924006964991752	0.934039821529821	0.928996306157533	persistent
GC_00000036	37	50	3	0	0.800853432282004	1.0	0.889415449281932	shell
GC_00000037	42	49	2	0	0.998708137100994	1.0	0.999353651053385	persistent
GC_00000038	34	49	3	0	0.760373287017849	0.658026009246397	0.705507117652583	shell
GC_00000039	40	48	2	0	0.984318545833799	0.958049805124273	0.971006545232403	persistent
GC_00000040	31	48	4	0	0.786121092799875	0.68063485962878	0.729584793929912	shell
