items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	PPanGGOLiN
GC_00000001	19	129	11	0	0.589993717362373	0.693178048353064	0.637437176329696	persistent
GC_00000002	19	123	14	0	0.611706475235415	0.651448958845537	0.630952510925344	persistent
GC_00000003	19	120	10	0	0.792383590822727	0.693179296923703	0.739469065780984	persistent
GC_00000004	19	69	7	0	0.831025089971995	0.631585419654229	0.717707587548085	persistent
GC_00000005	19	57	3	0	0.823101993930187	0.808527072972398	0.815749436449396	persistent
GC_00000006	17	42	6	0	0.855299294675738	0.689393998033919	0.763437250689127	persistent
GC_00000007	19	39	3	0	0.824467398668631	0.876743352480874	0.849802190153683	persistent
GC_00000008	19	38	3	0	0.686624301747553	0.708008162934291	0.697152293263483	persistent
GC_00000009	19	38	2	0	0.831009711806104	0.936893284101573	0.880780698733519	persistent
GC_00000010	19	38	2	0	0.860317361009177	0.863527228647311	0.861919306377221	persistent
GC_00000011	19	38	4	0	0.831786008230453	0.935885096243702	0.880770327010008	persistent
GC_00000012	17	38	4	0	0.867243147362878	0.844460711339264	0.855700314517544	persistent
GC_00000013	19	38	2	0	0.882718979741086	0.921710967165512	0.901793683869319	persistent
GC_00000014	17	36	4	0	0.85192335819804	0.772529914055831	0.810286500611675	persistent
GC_00000015	19	34	2	0	0.915904119472726	0.940849914351169	0.928209441489791	persistent
GC_00000016	19	34	3	0	0.787695179295739	0.665178226041121	0.721270938129119	persistent
GC_00000017	19	33	2	0	0.917134321690817	0.910580260812458	0.913845540042119	persistent
GC_00000018	17	31	3	0	0.962985934292326	0.883317840317775	0.921433046319937	persistent
GC_00000019	19	30	2	0	0.906022575642829	0.705743072351596	0.793439365021494	persistent
GC_00000020	19	30	2	0	0.945577413377974	0.743864604515695	0.83267914635902	persistent
GC_00000021	19	29	3	0	0.83477333901146	0.762911857418525	0.797226487435387	persistent
GC_00000022	17	29	4	0	0.841097250468397	0.64037005044572	0.727135169814225	persistent
GC_00000023	15	28	3	0	0.870828765410728	0.669366010675143	0.756921378691444	shell
