items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	PPanGGOLiN
GC_00000001	8	33	5	0	0.737770961023623	0.898187900149626	0.81011444236189	persistent
GC_00000002	8	28	6	0	0.856539897417718	0.683120527817384	0.760063683173897	persistent
GC_00000003	5	26	17	0	0.930496688741722	0.784133683661299	0.851068321104239	shell
GC_00000004	4	24	17	0	0.965204035696317	0.928740727313336	0.94662137526531	cloud
GC_00000005	7	24	10	0	0.919839634474109	0.698733463902105	0.794184377184241	persistent
GC_00000006	8	19	4	0	0.929793758031477	0.682023644179239	0.786864971575527	persistent
GC_00000007	6	18	9	0	0.936115510869316	0.85651426092939	0.894547549695391	shell
GC_00000008	8	18	3	0	0.725443315401474	0.650102192061083	0.685709468716208	persistent
GC_00000009	7	18	5	0	0.895465824498083	0.673111154530029	0.768528472658767	persistent
GC_00000010	8	18	3	0	0.909546365458189	0.864861147823573	0.886641098779001	persistent
GC_00000011	8	16	2	0	0.873089840470193	0.747040240461294	0.805161575660847	persistent
GC_00000012	8	16	2	0	0.869146569889956	0.997317725135964	0.928831354773212	persistent
GC_00000013	8	15	2	0	0.871291806539848	0.9798675322972	0.922395532867874	persistent
GC_00000014	8	14	2	0	0.867934852581434	0.777395106780742	0.820173854565725	persistent
GC_00000015	8	14	2	0	0.838763511258312	0.600055135247007	0.699607769764194	persistent
GC_00000016	8	14	2	0	0.887309323946205	0.72117823005397	0.79566443167373	persistent
GC_00000017	8	14	2	0	0.930603978966021	0.816375692364187	0.869755361339466	persistent
GC_00000018	7	13	3	0	0.890914351851852	0.796099419448476	0.840842452330296	persistent
GC_00000019	8	12	2	0	0.867495814398469	0.974830595760829	0.91803651829207	persistent
GC_00000020	8	12	2	0	0.820712568603438	0.987622268509184	0.8964645177022	persistent
GC_00000021	6	11	5	0	0.98528657848867	0.770280484041953	0.864617523074603	shell
GC_00000022	4	11	7	0	0.886205359630063	0.703165845133345	0.784145753740058	shell
GC_00000023	8	11	3	0	0.997207251347379	0.775895479426661	0.872739728999402	persistent
GC_00000024	8	11	2	0	0.979773198124523	0.777869885263279	0.867225061120105	persistent
GC_00000025	5	10	6	0	1.0	0.730955710955711	0.844568935333567	shell
GC_00000026	5	10	6	0	0.999511002444988	1.0	0.999755441428222	shell
GC_00000027	8	10	3	0	0.866397668684152	0.853001867413633	0.859647584862869	persistent
GC_00000028	8	10	2	0	0.918145035792095	0.927386143410853	0.922742453154096	persistent
GC_00000029	3	10	6	0	0.930526067468743	0.667837225514115	0.777595368831522	cloud
GC_00000030	8	10	2	0	0.893676441252743	0.932011725293133	0.912441606544057	persistent
GC_00000031	8	9	2	0	0.920735129068462	0.957658425689116	0.938833879563823	persistent
GC_00000032	8	9	2	0	0.94018249408584	0.999324552516041	0.968851803690927	persistent
GC_00000033	8	9	2	0	0.951101249178172	0.975816132337873	0.963300192667898	persistent
GC_00000034	8	9	2	0	0.937849720223821	1.0	0.967928225224296	persistent
GC_00000035	8	9	2	0	0.98802137194071	0.87388194284746	0.927453138118068	persistent
GC_00000036	5	9	5	0	0.941764331788862	0.894639376218323	0.917597204430124	shell
GC_00000037	8	9	2	0	0.976702155625657	0.847677263837723	0.907627220557759	persistent
GC_00000038	8	9	2	0	0.90748814440875	0.981051753837379	0.942837200829742	persistent
GC_00000039	7	9	3	0	0.933085501858736	0.802784259460242	0.863044417633712	persistent
GC_00000040	8	9	2	0	0.993595172559814	0.8604478847689	0.922240571669858	persistent
GC_00000041	8	9	2	0	0.908512544802867	0.926676676676676	0.917504719277118	persistent
GC_00000042	8	9	2	0	0.944160192028299	0.853406950864579	0.896492655411874	persistent
GC_00000043	8	9	2	0	0.990917579152873	0.831457924950009	0.904211313534448	persistent
GC_00000044	8	9	2	0	0.97715029894039	0.851746821448313	0.910149239037412	persistent
GC_00000045	8	9	2	0	0.969344949983866	0.804913451135951	0.879509758601424	persistent
GC_00000046	8	9	2	0	0.937551649012095	0.952052795983436	0.944746580359528	persistent
GC_00000047	8	9	2	0	0.916213838430885	0.942235949152869	0.92904271231704	persistent
GC_00000048	8	9	2	0	0.95329436122275	0.825678287431724	0.884909002044583	persistent
GC_00000049	8	9	2	0	0.953408615641991	0.843814803229879	0.895270220672518	persistent
GC_00000050	8	9	2	0	0.962326830647441	0.981554482787701	0.971845562792785	persistent
GC_00000051	8	9	2	0	0.919871162821271	0.837251892776754	0.876619164183402	persistent
GC_00000052	8	9	2	0	0.947364641677438	0.84647285866798	0.894081494324042	persistent
GC_00000053	8	9	2	0	0.931008771929825	0.977624653076847	0.953747446465488	persistent
GC_00000054	8	9	2	0	0.979771226777215	0.847726392848343	0.908978396439853	persistent
GC_00000055	8	9	2	0	0.936858237547893	0.840126946807981	0.88585977827195	persistent
GC_00000056	8	9	2	0	0.958751099384345	0.765505430064413	0.851299281892327	persistent
GC_00000057	8	9	2	0	0.987285825545171	0.83925735708556	0.907273258595156	persistent
GC_00000058	8	9	2	0	0.96813499890423	0.835685957962518	0.897047814991197	persistent
GC_00000059	8	9	2	0	0.809127534508949	0.994298097489587	0.892206425276472	persistent
GC_00000060	8	9	2	0	0.955005220569042	0.827769892586166	0.886847211424855	persistent
GC_00000061	8	9	2	0	0.953915030838108	0.828169039965849	0.886605641384576	persistent
GC_00000062	8	9	2	0	0.955187969924812	0.79698988970588	0.868947350994624	persistent
GC_00000063	8	9	2	0	0.972566846607949	0.863326775470695	0.914696787999163	persistent
GC_00000064	8	9	2	0	0.94248237122027	0.83563171598436	0.885846602099573	persistent
GC_00000065	8	9	2	0	0.944055799748241	0.830645076199703	0.883726730905891	persistent
GC_00000066	8	9	2	0	0.931571957782903	0.849101790617627	0.888427111539256	persistent
GC_00000067	8	9	2	0	0.932307905494353	0.944860260264002	0.938542114979568	persistent
GC_00000068	8	9	2	0	0.975674468699924	0.830186559213189	0.897069948974078	persistent
GC_00000069	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000070	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000071	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000072	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000073	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000074	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000075	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000076	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000077	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000078	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000079	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000080	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000081	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000082	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000083	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000084	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000085	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000086	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000087	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000088	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000089	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000090	8	8	1	1	1.0	1.0	1.0	persistent
