Query-ID,Reference-ID,Mash-distance,P-value,Matching-hashes
Ctu_DSM_44922,Cac_ATCC_49725,0.159407,0,179/10000
Cac_KPL_1996,Cac_ATCC_49725,0.0227253,0,4498/10000
Cps_KPL_1989,Cac_ATCC_49725,0.256381,2.83E-82,23/10000
Cac_KPL_1818,Cac_ATCC_49725,0.0252815,0,4165/10000
Cps_BWA188,Cac_ATCC_49725,0.25242,6.75E-90,25/10000
Cac_BWA270,Cac_ATCC_49725,0.0266314,0,4002/10000
Cac_KPL_1824,Cac_ATCC_49725,0.0231079,0,4446/10000
Cps_BWA127,Cac_ATCC_49725,0.254359,4.46E-86,24/10000
Cps_BWA223,Cac_ATCC_49725,0.256381,3.23E-82,23/10000
Cps_BWA184,Cac_ATCC_49725,0.254359,4.60E-86,24/10000
Cps_BWA300,Cac_ATCC_49725,0.248764,6.44E-98,27/10000
Cac_BWA161,Cac_ATCC_49725,0.0265889,0,4007/10000
Cps_BWA311,Cac_ATCC_49725,0.256381,2.69E-82,23/10000
Cps_DSM_44287,Cac_ATCC_49725,0.254359,2.34E-86,24/10000
Cps_BWA118,Cac_ATCC_49725,0.256381,2.69E-82,23/10000
Cps_BWA198,Cac_ATCC_49725,0.254359,4.23E-86,24/10000
Cps_HSID17576,Cac_ATCC_49725,0.258493,2.29E-78,22/10000
Cac_DU075,Cac_ATCC_49725,0.0271116,0,3946/10000
Cps_BWA141,Cac_ATCC_49725,0.258493,2.76E-78,22/10000
Cps_BWA283,Cac_ATCC_49725,0.26546,1.24E-66,19/10000
Cps_HSID17575,Cac_ATCC_49725,0.250557,4.26E-94,26/10000
Cps_BWA238,Cac_ATCC_49725,0.263022,1.77E-70,20/10000
Cps_BWA110,Cac_ATCC_49725,0.263022,1.66E-70,20/10000
Cac_BWA070,Cac_ATCC_49725,0.0259436,0,4084/10000
Cps_KPL_3966,Cac_ATCC_49725,0.248764,5.46E-98,27/10000
Cps_KPL_4066,Cac_ATCC_49725,0.260703,2.10E-74,21/10000
Cps_KPL_2826,Cac_ATCC_49725,0.239237,1.46E-122,33/10000
Cps_BWA164,Cac_ATCC_49725,0.276697,2.43E-51,15/10000
Cpr_BWA290,Cac_ATCC_49725,0.245371,6.69E-106,29/10000
Cpr_BWA146,Cac_ATCC_49725,0.276697,2.98E-51,15/10000
Cps_BWA166,Cac_ATCC_49725,0.26546,1.39E-66,19/10000
Cac_DU076,Cac_ATCC_49725,0.0238299,0,4350/10000
Cpr_KPL_2657,Cac_ATCC_49725,0.270747,9.20E-59,17/10000
Cps_KPL_2795,Cac_ATCC_49725,0.22559,2.11E-168,44/10000
Cpr_DSM_44285,Cac_ATCC_49725,0.25242,7.14E-90,25/10000
Cps_BWA305,Cac_ATCC_49725,0.254359,2.85E-86,24/10000
Cps_KPL_2667,Cac_ATCC_49725,0.276697,1.96E-51,15/10000
Cps_KPL_4025,Cac_ATCC_49725,0.236445,6.40E-131,35/10000
Cac_KPL_3674,Cac_ATCC_49725,0.0260847,0,4067/10000
Cps_KPL_3702,Cac_ATCC_49725,0.25242,2.85E-90,25/10000
Cac_KPL_4075,Cac_ATCC_49725,0.0225072,0,4528/10000
Cpr_KPL_2654,Cac_ATCC_49725,0.247037,1.24E-101,28/10000
Cac_KPL_3647,Cac_ATCC_49725,0.0216254,0,4652/10000
Cps_BWA172,Cac_ATCC_49725,0.263022,2.27E-70,20/10000
Cpr_BWA124,Cac_ATCC_49725,0.248764,7.10E-98,27/10000
Cac_BWA273,Cac_ATCC_49725,0.0210181,0,4740/10000
Cpr_KPL_3953,Cac_ATCC_49725,0.227796,4.68E-159,42/10000
Cps_BWA092,Cac_ATCC_49725,0.243761,2.12E-110,30/10000
Cac_BWA121,Cac_ATCC_49725,0.0271202,0,3945/10000
Cpr_DE0530,Cac_ATCC_49725,0.250557,1.42E-93,26/10000
Cac_ATCC_49725,Cac_ATCC_49725,0,0,10000/10000
Ctu_BWA195,Cac_ATCC_49725,0.160733,0,174/10000
Cps_KPL_4041,Cac_ATCC_49725,0.247037,4.24E-102,28/10000
Cac_KPL_3802,Cac_ATCC_49725,0.0226596,0,4507/10000
Ctu_BWA207,Cac_ATCC_49725,0.162937,0,166/10000
Ctu_DU074,Cac_ATCC_49725,0.159669,0,178/10000
Cps_KPL_2621,Cac_ATCC_49725,0.247037,3.59E-102,28/10000
Cpr_KPL_2804,Cac_ATCC_49725,0.242205,7.74E-114,31/10000
Cac_KPL_2618,Cac_ATCC_49725,0.0228497,0,4481/10000
Cac_KPL_2617,Cac_ATCC_49725,0.0231821,0,4436/10000
Cac_KPL_3774,Cac_ATCC_49725,0.0226087,0,4514/10000
Ctu_SK141,Cac_ATCC_49725,0.165549,0,157/10000
Cps_KPL_3671,Cac_ATCC_49725,0.250557,2.64E-94,26/10000
Cpr_KPL_3672,Cac_ATCC_49725,0.263022,2.70E-70,20/10000
Cac_BWA109,Cac_ATCC_49725,0.0246201,0,4248/10000
Ctu_BWA158,Cac_ATCC_49725,0.16322,0,165/10000
Cac_KPL_2652,Cac_ATCC_49725,0.0234813,0,4396/10000
