items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	PPanGGOLiN
GC_00000001	34	248	14	0	0.789616319570974	0.611931297620812	0.689510556945303	persistent
GC_00000002	34	240	12	0	0.795015272609533	0.624108875083414	0.699270868259267	persistent
GC_00000003	34	175	6	0	0.704428235174097	0.829003585906505	0.761655686213156	persistent
GC_00000004	34	153	16	0	0.875179247527218	0.736831586339045	0.800068708893046	persistent
GC_00000005	33	141	11	0	0.901121625627629	0.653559891073006	0.757630350862565	persistent
GC_00000006	34	136	9	0	0.838930477632226	0.63257699326694	0.721284981008372	persistent
GC_00000007	34	111	9	0	0.819468110246912	0.633732278601015	0.714730599761749	persistent
GC_00000008	34	86	3	0	0.873679017628948	0.973304889688025	0.920805055753147	persistent
GC_00000009	34	68	2	0	0.861289665119779	1.0	0.925476223567118	persistent
GC_00000010	34	68	3	0	0.715689513154924	0.688230115385339	0.701691273781581	persistent
GC_00000011	34	66	2	0	0.837625235095147	0.687192145602743	0.754988092085606	persistent
GC_00000012	34	66	3	0	0.921650930686689	0.813342712970426	0.86411621289441	persistent
GC_00000013	34	64	2	0	0.88459503131885	0.955696930120771	0.918772426925313	persistent
GC_00000014	34	61	2	0	0.70673397559349	0.678775382576446	0.692472586828108	persistent
GC_00000015	29	60	5	0	0.90678032316134	0.744563719694572	0.817704503528177	shell
GC_00000016	34	53	2	0	0.865174371319157	0.899421831336785	0.881965762259153	persistent
GC_00000017	34	52	2	0	0.843137254901961	0.967649741562784	0.90111266361054	persistent
GC_00000018	34	51	3	0	0.958367263358906	0.753200780182149	0.843487319346699	persistent
GC_00000019	34	50	2	0	0.845845168498658	0.928978606886771	0.885464886341347	persistent
GC_00000020	34	49	2	0	0.855951732767844	0.70528007537027	0.773345379530485	persistent
GC_00000021	34	47	3	0	0.899042659032304	0.85592357367857	0.876953403735591	persistent
GC_00000022	34	47	2	0	0.866371272625603	0.990894330095589	0.924458387152161	persistent
GC_00000023	30	45	3	0	0.862945290767561	0.623433491959319	0.723892189857671	persistent
GC_00000024	34	44	2	0	0.989285010317965	0.732017370401913	0.841425446153306	persistent
GC_00000025	34	44	2	0	0.878615762057216	0.933012372339994	0.904997400920887	persistent
GC_00000026	24	43	5	0	0.899903367979448	0.710875403429275	0.794297989413258	
GC_00000027	33	43	2	0	0.900635563130237	0.850673131603364	0.874941667594358	persistent
GC_00000028	32	43	2	0	0.809588630448705	0.700634521564755	0.751181362836952	persistent
GC_00000029	34	42	2	0	0.898236445507227	0.937853805967462	0.917617713400567	persistent
GC_00000030	29	42	4	0	0.955755109346371	0.681789728960066	0.795854869693065	shell
GC_00000031	34	41	2	0	0.977448104410281	0.740158517630111	0.842412378640285	persistent
GC_00000032	26	41	4	0	0.91242043223769	0.855545530143776	0.883068157444965	shell
GC_00000033	34	41	3	0	0.924159704953759	0.781075361153207	0.846614510406414	persistent
GC_00000034	31	40	7	0	0.882612037365496	0.69189525406196	0.775703082679919	persistent
GC_00000035	32	40	2	0	0.967819592567867	0.770656310462438	0.858057652799816	persistent
GC_00000036	30	39	2	0	0.903620287521216	1.0	0.949370306089623	shell
GC_00000037	34	39	2	0	0.982035989089281	0.794631213595965	0.878449772276431	persistent
GC_00000038	33	39	3	0	0.98003266573413	0.864370515384492	0.918575015534812	persistent
GC_00000039	34	39	3	0	0.976037700371363	0.802941502049272	0.88106839711957	persistent
GC_00000040	34	39	3	0	0.927849698676236	0.856225653057155	0.890599955227301	persistent
GC_00000041	28	39	3	0	0.886260892354059	0.733323949076018	0.802571524340576	shell
GC_00000042	34	38	2	0	0.990272251243077	0.904754453729341	0.945583750736427	persistent
GC_00000043	20	38	2	0	0.737645037610274	0.677684292803364	0.706394539999723	shell
GC_00000044	31	38	3	0	0.987089172157314	0.78918222877529	0.877110595232312	persistent
GC_00000045	34	38	3	0	0.910323655631694	0.749024401271501	0.821834368366747	persistent
GC_00000046	34	38	2	0	0.926997575301064	0.997835228931532	0.961112919247335	persistent
GC_00000047	34	38	2	0	0.986926187842835	0.860763001154686	0.919537281945845	persistent
GC_00000048	34	37	2	0	0.980727586760577	0.872766886373393	0.923603037057077	persistent
GC_00000049	34	37	2	0	0.986597757036886	0.860352754397891	0.919160629907805	persistent
GC_00000050	34	37	2	0	0.993632359192829	0.894271515845217	0.941337244758104	persistent
GC_00000051	28	37	3	0	0.912380396665041	0.87199719995507	0.891731831528023	shell
GC_00000052	34	37	2	0	0.991893261958351	0.87981094807182	0.932496220837757	persistent
GC_00000053	34	37	2	0	0.979699902953691	0.769125915623639	0.861735430585798	persistent
GC_00000054	34	37	2	0	0.980483836916161	0.875467721640581	0.925004692986617	persistent
GC_00000055	34	37	2	0	0.991967366078363	0.896454456819137	0.941795477639273	persistent
GC_00000056	34	37	2	0	0.993304990309268	0.923489173014785	0.957125623193047	persistent
GC_00000057	28	37	7	0	0.990710908105419	0.789337156329429	0.878633500491189	shell
GC_00000058	33	37	2	0	0.975102331231248	0.811801838835007	0.885990282866124	persistent
GC_00000059	34	36	2	0	0.993523730938978	0.909201829482958	0.949494359663871	persistent
GC_00000060	34	36	2	0	0.996065667104412	0.921569539496708	0.957370593720886	persistent
GC_00000061	34	36	2	0	0.975028505150586	0.883311113888541	0.926906477302532	persistent
GC_00000062	34	36	2	0	0.991070005938844	0.944828875175642	0.96739717974571	persistent
GC_00000063	33	36	2	0	0.996270773986781	0.9040203039178	0.947906369035929	persistent
GC_00000064	34	36	2	0	0.957959343020805	0.76174865660456	0.8486606363253	persistent
GC_00000065	34	36	2	0	0.970966206568301	0.924491699241432	0.947159201441472	persistent
GC_00000066	34	36	2	0	0.981870452428863	0.905969448315326	0.942394142377684	persistent
GC_00000067	34	36	2	0	0.992229602511277	0.892975954901452	0.939989990269284	persistent
GC_00000068	31	36	2	0	0.96712472154969	0.819566285705737	0.8872522586569	persistent
GC_00000069	34	36	2	0	0.95404288049226	0.775383068194527	0.855484672734268	persistent
GC_00000070	34	36	2	0	0.986784128765055	0.917433772084938	0.950846103360721	persistent
GC_00000071	34	36	2	0	0.955485080892143	0.992177837218486	0.973485824717282	persistent
GC_00000072	34	36	2	0	0.974680066787225	0.905751217460167	0.938952318568788	persistent
GC_00000073	34	36	2	0	0.967718257924502	0.91475683541717	0.940492540194012	persistent
GC_00000074	33	36	2	0	0.979752670781486	0.984300892068916	0.982021515194872	persistent
GC_00000075	34	35	2	0	0.997562212684117	0.975732368896924	0.986526542959907	persistent
GC_00000076	34	35	2	0	0.984778817187252	1.0	0.992331043297651	persistent
